username,potatoes,team
atritas,13,LRM
callisto2002,3,LRM
claimedxscribblez,19,LRM
cyancias,62,LRM
d_a_r_e,66,LRM
doglover99_8,21,LRM
elhiwe,26,LRM
hilary_duff_fan_16,37,LRM
honorrolle,66,LRM
idlegoth,36,LRM
lennekegirl123,69,LRM
mahnoosh,3,LRM
mbug1991,38,LRM
merpiie,3,LRM
midnightswish,27,LRM
mizsango,3,LRM
painted_neo_faerie,31,LRM
puppylover9161,0,LRM
superkathiee,76,LRM
_new_cassalla_,13,KDM
aangchan,63,KDM
catchinglights,63,KDM
eleganza_lights,53,KDM
gamemaster32792,3,KDM
hunni_bun_137,46,KDM
juliadoglover11405,44,KDM
nostalgia,83,KDM
nurnurnur199,42,KDM
orlytheowl,51,KDM
rhianafaeriedoll,36,KDM
ris1994,25,KDM
scizor07,59,KDM
sosunub,36,KDM
zilaena,84,KDM
angel709317,39,HDV
beckyx191,46,HDV
ckgknyangel,53,HDV
classicmess,81,HDV
goosesticks,52,HDV
howlsilver,18,HDV
justiquen,54,HDV
kio______lake,48,HDV
macosten,3,HDV
moonzywolfgirl,6,HDV
nella_fantasia,49,HDV
polarnights,27,HDV
tinyroses18,18,HDV
yerimiese,2,HDV
_frostmourn,0,
alex_bubbly,0,
amanda_hxc,0,
ayumijen,0,
bunnyfir,0,
butseriously,0,
digitally_cool,0,
erliane,0,
evilduckeh,0,
faeriefalls,0,
ferulax,0,
i_will_always_luv_me,0,
kuulai,0,
mysticferret15,0,
ninetendogamecube,0,
pequepanda,0,
pinkpopprincessgirl,0,
reply,0,
shpridge,0,
spendmylove,0,
stormcloake,0,
sweetestdeal,0,
taty_87,0,
toastedmarshmallows,0,
wasted_sky,0,
xeyota__fh,0,
zanzibar37,0,
